Insight_ID,Student_ID,Risk_Level,Message,Date,Semester
I0,S1000,Medium,Attendance could be improved.,6/15/2024,Fall 2024
I1,S1001,Low,Consider reaching out to your academic coach.,9/15/2024,Fall 2024
I2,S1002,Medium,Keep up the great work!,3/22/2024,Spring 2024
I3,S1003,Low,Consider reaching out to your academic coach.,7/7/2025,Spring 2025
I4,S1004,Medium,Consider reaching out to your academic coach.,7/19/2024,Fall 2024
I5,S1005,Low,Attendance could be improved.,2/3/2025,Spring 2025
I6,S1006,Medium,"You’re doing well, stay consistent.",4/1/2024,Spring 2024
I7,S1007,Low,Consider reaching out to your academic coach.,2/3/2025,Spring 2025
I8,S1008,High,Consider reaching out to your academic coach.,2/23/2025,Spring 2025
I9,S1009,Low,Keep up the great work!,4/5/2024,Spring 2024
I10,S1010,Low,Consider reaching out to your academic coach.,6/9/2024,Fall 2024
I11,S1011,Medium,Keep up the great work!,2/22/2025,Spring 2025
I12,S1012,Low,Consider reaching out to your academic coach.,4/27/2024,Spring 2024
I13,S1013,Medium,Attendance could be improved.,4/7/2025,Spring 2025
I14,S1014,Low,"You’re doing well, stay consistent.",3/2/2024,Spring 2024
I15,S1015,High,Consider reaching out to your academic coach.,4/23/2025,Spring 2025
I16,S1016,Medium,"You’re doing well, stay consistent.",5/18/2024,Spring 2024
I17,S1017,Low,Attendance could be improved.,6/5/2025,Spring 2025
I18,S1018,Low,"You’re doing well, stay consistent.",6/6/2025,Spring 2025
I19,S1019,Medium,Consider reaching out to your academic coach.,10/4/2025,Spring 2025
I20,S1020,Medium,Keep up the great work!,5/11/2025,Spring 2025
I21,S1021,High,"You’re doing well, stay consistent.",8/6/2024,Fall 2024
I22,S1022,High,Attendance could be improved.,7/3/2024,Fall 2024
I23,S1023,High,Consider reaching out to your academic coach.,11/6/2024,Fall 2024
I24,S1024,Low,Consider reaching out to your academic coach.,8/31/2025,Spring 2025
I25,S1025,Medium,Attendance could be improved.,3/9/2024,Spring 2024
I26,S1026,Low,Consider reaching out to your academic coach.,6/8/2025,Spring 2025
I27,S1027,Low,Consider reaching out to your academic coach.,5/14/2024,Spring 2024
I28,S1028,Low,Consider reaching out to your academic coach.,10/21/2024,Fall 2024
I29,S1029,Low,Consider reaching out to your academic coach.,7/12/2024,Fall 2024
I30,S1030,Low,Keep up the great work!,6/28/2025,Spring 2025
I31,S1031,High,Consider reaching out to your academic coach.,8/8/2025,Spring 2025
I32,S1032,Low,Keep up the great work!,3/9/2024,Spring 2024
I33,S1033,Medium,Keep up the great work!,9/4/2024,Fall 2024
I34,S1034,Low,Consider reaching out to your academic coach.,2/17/2024,Spring 2024
I35,S1035,Low,Keep up the great work!,10/1/2025,Spring 2025
I36,S1036,High,"You’re doing well, stay consistent.",8/7/2025,Spring 2025
I37,S1037,Low,"You’re doing well, stay consistent.",10/4/2024,Fall 2024
I38,S1038,Medium,Attendance could be improved.,4/14/2025,Spring 2025
I39,S1039,Low,Consider reaching out to your academic coach.,7/20/2025,Spring 2025
I40,S1040,Medium,Consider reaching out to your academic coach.,9/16/2025,Spring 2025
I41,S1041,High,Consider reaching out to your academic coach.,2/29/2024,Spring 2024
