Enrollment_ID,Student_ID,Course_Name,Attendance,Grade,Credits
E0,S14552,Programming,62,87,3
E1,S2633,Math,62,73,4
E2,S4995,Statistics,61,70,4
E3,S4128,Programming,72,93,3
E4,S6158,Communication Skills,96,57,3
E5,S8275,Programming,61,90,3
E6,S5512,Statistics,73,66,4
E7,S2351,Communication Skills,98,61,4
E8,S11220,Programming,60,92,4
E9,S8901,Math,71,88,4
E10,S9664,Programming,78,98,3
E11,S6566,Math,92,53,3
E12,S9775,AI Basics,96,88,4
E13,S2300,Communication Skills,90,75,3
E14,S12870,Programming,61,95,3
E15,S6672,Math,78,80,4
E16,S5980,Programming,85,70,4
E17,S3658,Communication Skills,61,91,4
E18,S14755,Communication Skills,90,60,4
E19,S6269,Math,94,80,4
E20,S10081,AI Basics,96,81,4
E21,S7527,AI Basics,93,62,4
E22,S6328,Communication Skills,69,86,3
E23,S1335,Communication Skills,89,97,4
E24,S7726,AI Basics,75,68,4
E25,S3429,AI Basics,97,54,3
E26,S1267,Statistics,68,65,4
E27,S3353,Programming,63,58,4
E28,S11679,Statistics,83,69,3
E29,S6074,AI Basics,66,85,4
E30,S1731,AI Basics,75,73,4
E31,S4193,Communication Skills,90,84,3
E32,S13320,Communication Skills,79,51,4
E33,S12327,Programming,90,58,3
E34,S11059,Statistics,66,50,3
E35,S8914,Math,61,89,3
E36,S1910,Communication Skills,99,90,3
E37,S3074,AI Basics,90,93,4
E38,S9404,Communication Skills,74,62,4
E39,S14915,AI Basics,100,84,3
E40,S8691,Programming,93,82,3
E41,S7609,Programming,73,93,3
E42,S9934,Communication Skills,64,97,4
E43,S13479,Programming,78,82,3
E44,S9968,Communication Skills,91,80,3
E45,S9374,Communication Skills,71,80,4
E46,S2450,Communication Skills,64,84,4
E47,S9057,Statistics,63,81,3
E48,S5524,Programming,74,87,3
E49,S5280,Statistics,87,63,4
E50,S14082,Math,64,90,3
E51,S14112,Math,62,85,4
E52,S9631,AI Basics,99,67,4
E53,S6615,Communication Skills,77,76,4
E54,S7805,Statistics,73,64,4
E55,S14433,Programming,96,96,4
E56,S7413,Math,79,74,4
E57,S11544,Statistics,76,66,4
E58,S4888,Communication Skills,73,64,3
E59,S5584,Programming,89,53,3
E60,S10892,AI Basics,68,65,3
E61,S8812,Communication Skills,90,75,4
E62,S2142,Programming,96,81,4
E63,S11500,Math,63,87,4
E64,S13158,AI Basics,97,66,4
E65,S10076,AI Basics,99,85,3
E66,S7812,Programming,98,87,3
E67,S14852,Statistics,97,97,4
E68,S8278,Communication Skills,100,96,3
E69,S9548,Programming,82,53,4
E70,S4409,Programming,97,51,4
E71,S2534,Statistics,96,62,3
E72,S12724,Statistics,97,54,3
E73,S8168,Statistics,86,63,3
E74,S7031,Communication Skills,66,55,4
E75,S12023,Programming,93,50,3
E76,S4453,Communication Skills,92,92,4
E77,S2946,AI Basics,93,84,3
E78,S2823,Programming,89,51,3
E79,S10093,Math,97,74,4
E80,S8669,Statistics,79,56,3
E81,S9739,Communication Skills,60,90,3
E82,S8858,Programming,72,56,4
E83,S5705,Math,93,60,4
E84,S1126,AI Basics,92,84,3
E85,S9975,Programming,84,95,4
E86,S5941,AI Basics,60,68,3
E87,S11929,Statistics,73,84,3
E88,S3511,Statistics,78,83,4
E89,S11288,Programming,77,77,4
E90,S12653,Communication Skills,94,94,4
E91,S12607,Communication Skills,73,78,4
E92,S6565,Math,85,56,3
E93,S14925,Communication Skills,60,58,3
E94,S9145,AI Basics,96,73,3
E95,S7907,Communication Skills,68,66,3
E96,S9749,Communication Skills,83,59,4
E97,S12160,Statistics,83,86,3
E98,S9239,Math,92,64,4
E99,S5915,Programming,82,79,4
E100,S1149,Statistics,74,76,3
E101,S4898,Programming,100,65,3
E102,S4943,Programming,85,89,4
E103,S9045,AI Basics,64,71,3
E104,S11117,Programming,84,92,3
E105,S5351,Math,88,76,3
E106,S10093,Statistics,97,78,3
E107,S1665,Math,69,58,4
E108,S14461,Statistics,61,99,3
E109,S14584,Math,94,87,3
E110,S8243,AI Basics,85,94,4
E111,S8812,Statistics,78,88,3
E112,S6393,Statistics,66,78,3
E113,S8974,Communication Skills,91,78,4
E114,S1747,Communication Skills,91,91,4
E115,S11734,AI Basics,91,99,3
E116,S12447,Statistics,95,96,3
E117,S13572,Communication Skills,71,95,4
E118,S12550,Programming,99,84,4
E119,S14826,Math,72,97,4
E120,S5749,Communication Skills,62,78,4
E121,S5437,AI Basics,87,63,4
E122,S1837,AI Basics,67,80,4
E123,S12082,AI Basics,99,79,4
E124,S4124,Statistics,64,81,3
E125,S11223,Statistics,67,66,4
E126,S7546,AI Basics,69,64,3
E127,S14998,Communication Skills,64,75,4
E128,S10803,Math,66,54,4
E129,S11791,Programming,94,59,4
E130,S2869,AI Basics,98,63,3
E131,S1700,Statistics,63,80,4
E132,S12032,Communication Skills,63,73,3
E133,S11550,Math,94,96,4
E134,S5647,Statistics,66,98,4
E135,S9435,Statistics,89,52,3
E136,S10024,AI Basics,70,78,3
E137,S2738,AI Basics,62,65,4
E138,S5703,Statistics,94,91,3
E139,S13182,Programming,90,89,3
E140,S14229,Math,98,68,4
E141,S11606,Statistics,73,74,3
E142,S8148,Programming,86,65,3
E143,S3917,Communication Skills,70,74,4
E144,S2145,Communication Skills,91,67,3
E145,S11704,Math,95,55,4
E146,S14437,Math,79,94,4
E147,S5079,Programming,81,78,4
E148,S4010,Math,84,89,4
E149,S8681,Communication Skills,68,87,3
E150,S10587,AI Basics,88,90,4
E151,S14601,Statistics,72,68,3
E152,S10981,AI Basics,83,99,4
E153,S14837,AI Basics,82,74,3
E154,S12754,Communication Skills,60,70,3
E155,S12483,AI Basics,65,89,3
E156,S13234,Programming,62,84,4
E157,S13257,AI Basics,69,70,4
E158,S9854,Math,83,62,3
E159,S8770,Statistics,81,51,4
E160,S4769,Math,60,92,4
E161,S12884,Math,100,52,3
E162,S12861,AI Basics,68,95,3
E163,S13989,AI Basics,79,52,4
E164,S14825,Programming,83,88,4
E165,S2160,Math,89,89,3
E166,S9340,Statistics,79,62,4
E167,S12347,Communication Skills,95,92,4
E168,S9657,Math,88,68,4
E169,S13630,Statistics,77,52,3
E170,S3138,Math,78,86,3
E171,S5627,Programming,98,60,4
E172,S3436,AI Basics,76,51,4
E173,S1452,Math,72,96,3
E174,S14727,AI Basics,84,82,3
E175,S10945,Math,100,51,4
E176,S1694,Math,62,72,3
E177,S5415,AI Basics,93,56,3
E178,S4845,Programming,82,94,3
E179,S13684,Statistics,78,75,4
E180,S2392,Statistics,82,72,4
E181,S8082,AI Basics,87,76,4
E182,S10109,Statistics,98,91,4
E183,S5350,Statistics,76,60,3
E184,S8447,Programming,60,68,4
E185,S9996,Programming,65,66,3
E186,S6461,Statistics,82,51,3
E187,S12276,AI Basics,61,54,4
E188,S1837,Statistics,68,57,4
E189,S6697,Communication Skills,92,65,3
E190,S2907,Statistics,86,54,4
E191,S10934,Programming,72,91,4
E192,S10902,Communication Skills,76,88,3
E193,S14098,Math,99,91,4
E194,S12558,Statistics,81,96,3
E195,S3800,Math,79,59,3
E196,S1457,Programming,92,65,4
E197,S8616,Programming,63,69,4
E198,S10164,Math,98,59,4
E199,S14659,Math,92,57,4
E200,S10367,AI Basics,68,68,3
E201,S10983,Communication Skills,100,72,3
E202,S4273,Communication Skills,98,96,4
E203,S12318,Programming,89,94,4
E204,S8802,AI Basics,89,56,4
E205,S6125,Statistics,99,59,3
E206,S10572,Communication Skills,94,76,4
E207,S10374,Math,71,70,4
E208,S10943,Statistics,79,90,4
E209,S9364,Programming,69,76,3
E210,S8719,Statistics,90,75,3
E211,S6593,Programming,71,60,4
E212,S10308,Programming,62,94,3
E213,S1420,Communication Skills,79,84,3
E214,S5597,Programming,82,83,4
E215,S9026,Math,98,79,4
E216,S14354,AI Basics,73,96,3
E217,S12763,Statistics,98,77,4
E218,S9269,Statistics,99,71,3
E219,S12288,Programming,99,68,4
E220,S6371,AI Basics,62,70,4
E221,S14915,Communication Skills,74,92,4
E222,S5780,AI Basics,75,63,4
E223,S7106,Statistics,85,83,4
E224,S7255,AI Basics,76,89,3
E225,S6816,AI Basics,98,86,3
E226,S6267,Communication Skills,77,60,3
E227,S4735,Statistics,75,57,4
E228,S9334,Math,63,54,3
E229,S11116,Statistics,95,57,3
E230,S14045,Math,94,96,4
E231,S11252,Statistics,97,64,3
E232,S10941,Math,99,87,4
E233,S3449,AI Basics,77,61,3
E234,S4883,Programming,72,67,3
E235,S7887,Programming,88,50,4
E236,S10542,Statistics,89,85,4
E237,S3329,Math,83,96,4
E238,S7785,Math,84,56,3
E239,S14453,Programming,63,92,4
E240,S4805,Communication Skills,87,56,3
E241,S1429,AI Basics,90,54,4
E242,S5466,Programming,68,56,4
E243,S5893,AI Basics,66,97,4
E244,S1671,Programming,94,51,3
E245,S5570,Programming,70,65,3
E246,S2440,Math,66,79,4
E247,S2589,Communication Skills,63,59,3
E248,S11004,Math,62,82,4
E249,S9462,AI Basics,100,65,3
E250,S9585,Math,75,63,4
E251,S8073,Math,83,91,3
E252,S11401,Math,82,67,3
E253,S1606,Programming,87,94,4
