Log_ID,Student_ID,Week,Login_Count,Dashboard_Clicks,Time_Spent,Date
L0,S5493,10,3,45,116,10/4/2024
L1,S13116,3,7,28,26,6/19/2025
L2,S6094,5,8,30,78,4/21/2024
L3,S1888,14,5,48,86,4/8/2024
L4,S1320,5,4,30,30,8/9/2025
L5,S2319,6,1,10,28,8/13/2025
L6,S2136,11,7,46,92,10/5/2025
L7,S3588,10,7,33,88,2/20/2025
L8,S7528,8,4,33,66,2/12/2024
L9,S7223,9,7,24,54,8/29/2024
L10,S2402,2,7,34,65,8/17/2025
L11,S10771,4,9,41,66,6/14/2024
L12,S1437,7,5,19,42,9/24/2024
L13,S9406,6,5,43,47,4/7/2024
L14,S10623,13,1,49,119,8/13/2024
L15,S11754,14,5,44,96,10/14/2024
L16,S10696,16,8,5,113,4/21/2025
L17,S5149,7,9,44,74,7/27/2024
L18,S9026,11,5,46,76,12/7/2024
L19,S1026,5,9,11,92,6/2/2025
L20,S10364,8,1,35,63,5/27/2025
L21,S12725,3,6,34,87,3/3/2025
L22,S3803,4,4,26,79,2/21/2024
L23,S3898,14,4,24,79,4/4/2025
L24,S9294,13,9,17,46,7/7/2024
L25,S6945,10,4,46,55,2/18/2024
L26,S14103,2,9,5,108,5/1/2025
L27,S7787,8,2,32,111,6/30/2025
L28,S5403,12,3,41,98,7/27/2024
L29,S5543,7,1,36,92,4/10/2024
L30,S7586,13,3,33,14,4/13/2025
L31,S14091,5,4,27,106,6/24/2024
L32,S11547,3,8,26,113,9/8/2025
L33,S7656,5,8,38,13,8/6/2024
L34,S7373,13,6,10,25,3/21/2025
L35,S8795,4,7,21,33,9/29/2024
L36,S12664,11,6,20,39,11/23/2024
L37,S11993,15,2,7,40,2/11/2024
L38,S9247,8,1,39,78,8/24/2025
L39,S14211,15,5,44,64,3/2/2025
L40,S5054,2,1,40,25,2/26/2024
L41,S7518,16,3,21,55,8/24/2025
L42,S4022,1,8,22,15,4/6/2024
L43,S12295,5,9,33,108,2/13/2025
