Student_ID,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade
S1000,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3
S1001,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2
S1002,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0
S1003,19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3
S1004,19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2
S1005,19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0
S1006,19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3
S1007,19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2
S1008,19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0
S1009,19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3
S1010,19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2
S1011,19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0
S1012,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3
S1013,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2
S1014,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0
S1015,19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3
S1016,19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2
S1017,19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0
S1018,24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3
S1019,24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1
S1020,24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0
S1021,24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3
S1022,24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1
S1023,24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0
S1024,24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3
S1025,24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1
S1026,24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0
S1027,24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3
S1028,24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1
S1029,24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0
S1030,24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3
S1031,24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1
S1032,24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0
S1033,24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3
S1034,24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1
S1035,24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0
S1036,29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3
S1037,29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3
S1038,29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2
S1039,29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3
S1040,29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3
S1041,29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2
S1042,19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3
S1043,19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0
S1044,19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3
S1045,19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0
S1046,19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3
